1  2310:1.000000 166741:1.000000 
2  2310:1.000000 
3  2310:1.000000 
4  166741:1.000000 
5  165939:1.000000 
6  165939:1.000000 
7  165939:3.000000 
8  37964:1.000000 49768:1.000000 169675:1.000000 230166:1.000000 
9  56776:1.000000 
10  186954:1.000000 
11  130025:1.000000 
12  29301:1.000000 
13  118759:1.000000 
14  162403:1.000000 
15  23625:1.000000 
16  180081:1.000000 
17  60909:1.000000 180081:1.000000 
18  60909:1.000000 
19  60909:1.000000 
20  60909:1.000000 78443:1.000000 
21  25721:1.000000 142848:1.000000 255153:1.000000 
22  70436:1.000000 
23  70436:1.000000 
24  70436:1.000000 
25  156350:1.000000 
26  109446:1.000000 154042:1.000000 161938:1.000000 
27  130727:1.000000 154042:1.000000 213823:1.000000 
28  153584:1.000000 154042:1.000000 
29  95164:1.000000 212452:1.000000 
30  160342:1.000000 
31  160342:1.000000 240154:1.000000 240732:1.000000 
32  160342:1.000000 245513:1.000000 
33  160728:1.000000 
34  150247:1.000000 160728:1.000000 
35  20793:1.000000 160728:1.000000 
36  4676:1.000000 251235:1.000000 
37  242414:1.000000 247283:1.000000 
38  152650:1.000000 242414:1.000000 247283:1.000000 
39  4909:1.000000 
40  4909:1.000000 
41  4909:1.000000 258074:1.000000 
42  4909:1.000000 231225:1.000000 
43  162937:1.000000 
44  132410:1.000000 
45  132410:1.000000 
46  217598:1.000000 221414:1.000000 
47  5780:1.000000 60909:1.000000 
48  232574:1.000000 
49  1236:1.000000 
50  65445:1.000000 221414:1.000000 
51  12194:1.000000 
52  180980:1.000000 
53  75933:1.000000 
54  132410:1.000000 
55  130025:1.000000 132410:1.000000 
56  130025:1.000000 132410:1.000000 
57  112206:1.000000 120478:1.000000 132410:1.000000 
58  216995:1.000000 
59  130025:1.000000 
60  121549:1.000000 
61  37980:1.000000 216995:1.000000 
62  96362:1.000000 149562:1.000000 165083:1.000000 255153:1.000000 
63  149049:1.000000 
64  149049:1.000000 
65  149049:1.000000 
66  149049:1.000000 
67  149049:1.000000 
68  149049:1.000000 232574:1.000000 
69  37980:1.000000 149049:1.000000 
70  44282:1.000000 149049:1.000000 224808:1.000000 
71  149049:1.000000 
72  149049:1.000000 
73  149049:2.000000 
74  149049:2.000000 
75  149049:3.000000 
76  149049:3.000000 
77  149049:3.000000 
78  149049:14.000000 
79  38237:1.000000 149049:6.000000 
80  20806:1.000000 102553:1.000000 149049:3.000000 153856:1.000000 
81  149049:1.000000 
82  149049:1.000000 257901:1.000000 
83  149049:1.000000 
84  149049:1.000000 
85  149049:1.000000 247792:2.000000 
86  149049:1.000000 180081:1.000000 
87  149049:1.000000 180081:1.000000 
88  149049:1.000000 
89  149049:1.000000 
90  37980:1.000000 149049:1.000000 
91  37980:1.000000 149049:1.000000 
92  60909:1.000000 
93  37980:1.000000 60909:4.000000 149049:1.000000 
94  149049:1.000000 
95  149049:1.000000 201419:1.000000 
96  149049:1.000000 222924:1.000000 
97  149049:1.000000 
98  102553:1.000000 149049:1.000000 
99  102553:1.000000 149049:1.000000 
100  149049:1.000000 
101  102553:1.000000 149049:1.000000 
102  60909:1.000000 149049:1.000000 
103  242414:1.000000 247283:1.000000 
104  149049:1.000000 257901:1.000000 
105  111003:1.000000 149049:1.000000 
106  38237:1.000000 149049:1.000000 
107  149049:1.000000 242414:1.000000 247283:1.000000 
108  160324:1.000000 
109  106854:1.000000 
110  102718:1.000000 170870:1.000000 
111  57884:1.000000 
112  57884:1.000000 205703:1.000000 
113  57884:3.000000 
114  57884:1.000000 
115  57884:3.000000 157413:1.000000 206661:1.000000 230185:1.000000 248917:1.000000 
116  57884:1.000000 83202:1.000000 102544:1.000000 
117  57884:3.000000 157413:1.000000 206661:1.000000 230185:1.000000 248917:1.000000 
118  80247:1.000000 164764:1.000000 
119  78796:1.000000 80247:1.000000 142035:1.000000 185644:1.000000 
120  80247:1.000000 95058:1.000000 
121  99109:1.000000 132324:1.000000 174064:1.000000 257714:1.000000 
122  62262:2.000000 
123  229262:1.000000 
124  150247:1.000000 
125  150247:1.000000 
126  150247:1.000000 157722:1.000000 
127  150247:1.000000 157722:1.000000 
128  29019:1.000000 150247:1.000000 157722:1.000000 211610:1.000000 229262:1.000000 
129  150247:1.000000 
130  150247:1.000000 
131  150247:1.000000 
132  150247:1.000000 
133  150247:1.000000 224842:1.000000 
134  116317:1.000000 150247:1.000000 
135  150247:1.000000 
136  150247:1.000000 
137  29143:1.000000 150247:1.000000 
138  78690:1.000000 150247:1.000000 
139  150247:1.000000 
140  150247:1.000000 
141  72078:1.000000 95247:1.000000 119646:1.000000 148226:1.000000 
142  228645:1.000000 
143  220810:1.000000 
144  133371:1.000000 
145  37964:1.000000 
146  37964:1.000000 40349:1.000000 
147  152160:1.000000 187146:1.000000 
148  220810:1.000000 
149  220810:1.000000 
150  246193:1.000000 
151  31705:1.000000 133371:1.000000 
152  48106:1.000000 104590:1.000000 
153  107069:1.000000 150645:1.000000 252131:1.000000 
154  150645:1.000000 160273:1.000000 
155  150645:1.000000 
156  150645:1.000000 160324:1.000000 
157  150645:1.000000 157789:1.000000 180524:1.000000 
158  150645:1.000000 235999:1.000000 
159  150645:1.000000 168634:1.000000 
160  150645:1.000000 172327:1.000000 
161  42046:1.000000 123391:1.000000 150645:1.000000 
162  42046:1.000000 123391:1.000000 150645:1.000000 
163  150645:1.000000 
164  68079:1.000000 150645:1.000000 
165  68079:1.000000 102718:1.000000 150645:1.000000 
166  5780:1.000000 150645:1.000000 
167  150645:1.000000 
168  150645:1.000000 203555:1.000000 
169  150645:1.000000 203555:1.000000 
170  150645:1.000000 227375:1.000000 
171  150645:1.000000 207810:1.000000 
172  150645:1.000000 180524:1.000000 198580:1.000000 
173  150645:1.000000 
174  122380:1.000000 150645:1.000000 
175  150645:1.000000 
176  150645:6.000000 
177  82732:1.000000 
178  60909:1.000000 
179  151314:1.000000 
180  192030:1.000000 
181  118990:1.000000 
182  118990:1.000000 
183  2925:1.000000 
184  37980:1.000000 
185  180081:1.000000 
186  13157:1.000000 27014:1.000000 230185:1.000000 
187  91260:1.000000 
188  37980:1.000000 
189  146605:1.000000 152160:1.000000 
190  135977:1.000000 152244:1.000000 
191  135836:2.000000 152244:1.000000 
192  142824:1.000000 152244:1.000000 
193  51042:1.000000 152244:1.000000 
194  152244:1.000000 
195  152244:1.000000 195323:1.000000 
196  122380:1.000000 152244:1.000000 
197  179534:1.000000 
198  217544:1.000000 
199  37980:1.000000 
200  204117:1.000000 
201  160324:1.000000 237074:1.000000 
202  250814:1.000000 
203  95363:1.000000 
204  48106:1.000000 104590:1.000000 
205  141542:1.000000 234467:1.000000 
206  144640:1.000000 
207  144640:2.000000 
208  144640:4.000000 
209  144640:1.000000 
210  7601:1.000000 
211  102718:1.000000 
212  135836:2.000000 
213  80769:1.000000 118474:1.000000 119987:1.000000 150645:1.000000 
214  203555:1.000000 
215  60909:1.000000 
216  110535:1.000000 
217  110535:1.000000 
218  227723:1.000000 
219  34475:1.000000 255555:1.000000 
220  134907:1.000000 
221  135977:1.000000 
222  135977:2.000000 
223  135977:1.000000 
224  135836:2.000000 
225  29301:1.000000 153584:1.000000 
226  169117:1.000000 
227  243450:1.000000 
228  155940:1.000000 
229  157342:1.000000 
230  82732:1.000000 
231  77277:1.000000 
232  151063:1.000000 
233  110842:1.000000 
234  171335:1.000000 
235  82732:1.000000 
236  189194:1.000000 191596:1.000000 223538:1.000000 
237  40130:1.000000 
238  61804:1.000000 
239  62694:1.000000 
240  198580:1.000000 
241  156350:1.000000 234467:1.000000 
242  20806:1.000000 104590:1.000000 230185:1.000000 
243  21350:1.000000 
244  18004:1.000000 
245  131183:1.000000 158012:1.000000 230166:1.000000 
246  157722:1.000000 
247  43410:1.000000 
248  227314:1.000000 
249  21350:1.000000 
250  24407:1.000000 
251  43183:1.000000 158420:1.000000 
252  7122:1.000000 
253  37980:1.000000 
254  144283:1.000000 
255  109222:1.000000 
256  109222:1.000000 132410:1.000000 
257  90543:1.000000 
258  90543:1.000000 
259  90543:2.000000 
260  90543:1.000000 
261  37980:1.000000 90543:1.000000 
262  82593:1.000000 90543:1.000000 
263  90543:1.000000 
264  90543:2.000000 
265  37980:1.000000 90543:1.000000 
266  65310:1.000000 87039:1.000000 180662:1.000000 245700:1.000000 
267  113009:1.000000 
268  221414:1.000000 
269  221414:1.000000 
270  221414:1.000000 
271  221414:1.000000 
272  133963:1.000000 135836:1.000000 
273  66440:1.000000 139393:1.000000 
274  43204:1.000000 
275  150247:1.000000 
276  37964:1.000000 
277  4909:1.000000 231225:1.000000 
278  157789:1.000000 
279  232582:1.000000 
280  144675:1.000000 
281  38237:2.000000 
282  70436:1.000000 232582:1.000000 
283  216814:1.000000 
284  160870:1.000000 
285  4909:1.000000 168526:1.000000 
286  229613:1.000000 
287  157789:1.000000 
288  139779:1.000000 
289  137222:1.000000 
290  51976:1.000000 
291  51976:1.000000 
292  91306:1.000000 
293  91306:1.000000 
294  147185:1.000000 
295  164210:1.000000 
296  190467:1.000000 
297  47691:1.000000 
298  125879:1.000000 230185:1.000000 
299  127987:1.000000 
300  63421:1.000000 
301  165939:1.000000 
302  180081:1.000000 
303  96714:1.000000 230185:1.000000 
304  132410:1.000000 135836:1.000000 
305  257714:1.000000 
306  91858:1.000000 255555:1.000000 
307  230166:1.000000 
308  13590:1.000000 230166:1.000000 
309  51776:1.000000 
310  153584:1.000000 
311  153584:1.000000 172562:1.000000 217544:1.000000 
312  40776:1.000000 
313  201556:1.000000 
314  127045:1.000000 149480:1.000000 234467:1.000000 
315  15358:1.000000 
316  156349:1.000000 
317  75707:1.000000 194008:1.000000 
318  137936:1.000000 
319  139324:1.000000 
320  55317:1.000000 
321  258726:1.000000 
322  221414:1.000000 
323  221414:1.000000 
324  95467:1.000000 
325  221414:1.000000 
326  221414:1.000000 
327  221414:1.000000 
328  221414:1.000000 
329  221414:3.000000 
330  221414:1.000000 
331  221414:1.000000 
332  212689:1.000000 221414:1.000000 
333  221414:1.000000 
334  221414:1.000000 234467:1.000000 
335  221414:1.000000 
336  72449:1.000000 
337  143810:1.000000 
338  84036:1.000000 197705:1.000000 
339  134907:1.000000 207605:1.000000 
340  176146:1.000000 
341  7213:1.000000 248404:1.000000 
342  248576:1.000000 
343  243640:1.000000 
344  236829:1.000000 243640:2.000000 
345  38895:1.000000 
346  242797:1.000000 
347  81324:1.000000 131849:1.000000 242797:1.000000 
348  136654:1.000000 
349  1407:1.000000 256305:1.000000 
350  218566:1.000000 
351  160324:1.000000 
352  157789:1.000000 
353  157789:1.000000 192030:1.000000 
354  157789:1.000000 
355  157789:1.000000 
356  102718:1.000000 157789:1.000000 
357  139526:1.000000 
358  82732:1.000000 
359  82732:1.000000 
360  82732:1.000000 
361  77277:1.000000 
362  82732:1.000000 180524:1.000000 
363  79308:1.000000 
364  79308:1.000000 102718:1.000000 
365  38237:1.000000 
366  79308:1.000000 102718:1.000000 201245:1.000000 
367  79308:1.000000 180524:1.000000 
368  232127:1.000000 
369  71061:1.000000 
370  257714:1.000000 
371  257714:1.000000 
372  257714:1.000000 
373  96144:1.000000 257714:1.000000 
374  230081:1.000000 257714:1.000000 
375  102553:1.000000 257714:1.000000 
376  102718:1.000000 217544:1.000000 224450:1.000000 257714:1.000000 
377  192030:1.000000 252131:1.000000 257714:1.000000 
378  257714:1.000000 
379  257714:1.000000 
380  102718:1.000000 113695:1.000000 134428:1.000000 139055:1.000000 217907:1.000000 248579:1.000000 255555:1.000000 
381  14387:1.000000 107069:1.000000 157789:1.000000 175498:1.000000 258042:1.000000 
382  250770:1.000000 
383  250770:1.000000 
384  139526:1.000000 
385  139526:1.000000 
386  139526:1.000000 
387  252164:1.000000 
388  231225:1.000000 
389  231225:3.000000 
390  231225:1.000000 
391  231225:1.000000 
392  72728:1.000000 98540:1.000000 
393  102735:1.000000 113009:1.000000 203154:1.000000 222924:1.000000 
394  232090:1.000000 
395  37980:1.000000 
396  238112:1.000000 
397  15101:1.000000 
398  60909:1.000000 113441:1.000000 180081:1.000000 254441:1.000000 255555:1.000000 
399  80247:1.000000 121533:1.000000 
400  175498:1.000000 
401  175498:1.000000 
402  227747:1.000000 
403  5462:1.000000 60909:1.000000 107496:1.000000 249898:1.000000 
404  85878:1.000000 
405  157722:1.000000 
406  142949:1.000000 
407  161970:1.000000 
408  161970:1.000000 
409  161970:1.000000 
410  209189:1.000000 
411  63421:1.000000 
412  124178:1.000000 216093:1.000000 
413  255555:1.000000 
414  59767:1.000000 255555:1.000000 
415  255555:1.000000 
416  134879:1.000000 241042:1.000000 
417  227747:1.000000 255555:1.000000 
418  232127:1.000000 249898:1.000000 
419  18713:1.000000 249898:1.000000 
420  25721:1.000000 161585:1.000000 
421  255555:1.000000 
422  208254:1.000000 
423  51776:1.000000 
424  28202:1.000000 
425  18417:4.000000 180081:2.000000 
426  78290:1.000000 
427  232127:1.000000 249898:1.000000 
428  232315:1.000000 
429  5462:1.000000 232127:1.000000 249898:1.000000 
430  205325:1.000000 
431  90543:1.000000 
432  21646:1.000000 234467:1.000000 
433  150336:1.000000 
434  230160:1.000000 
435  150336:1.000000 
436  150336:2.000000 
437  21646:1.000000 143720:1.000000 150336:2.000000 234467:1.000000 
438  150336:1.000000 201057:1.000000 
439  31432:1.000000 
440  31432:2.000000 
441  31432:1.000000 81324:1.000000 
442  31432:1.000000 60909:1.000000 
443  90844:1.000000 
444  21646:1.000000 31432:1.000000 234467:1.000000 
445  180081:1.000000 232574:1.000000 
446  39414:1.000000 44488:1.000000 152171:1.000000 169675:1.000000 216993:1.000000 230185:1.000000 
447  196862:1.000000 
448  107069:1.000000 
449  90543:1.000000 
450  192030:1.000000 
451  192030:1.000000 
452  153584:1.000000 180081:1.000000 192030:1.000000 
453  217544:1.000000 
454  192030:1.000000 
455  192030:2.000000 
456  192030:1.000000 217544:1.000000 
457  192030:2.000000 217544:1.000000 
458  230185:1.000000 
459  192030:3.000000 217544:1.000000 
460  192030:10.000000 
461  60909:1.000000 192030:4.000000 
462  192030:1.000000 217544:1.000000 
463  21215:1.000000 135280:1.000000 192030:1.000000 217544:1.000000 
464  192030:1.000000 
465  192030:1.000000 203760:1.000000 
466  217544:1.000000 
467  192030:1.000000 
468  192030:1.000000 
469  230185:1.000000 
470  58752:1.000000 
471  134845:1.000000 
472  197436:1.000000 
473  60909:1.000000 
474  109981:1.000000 
475  159444:1.000000 
