|0 |[105971, 246335, 169937, 146545, 121253]|[5.785401909156316E-6, 5.718551243692189E-6, 5.648675271633808E-6, 5.618680893534585E-6, 5.609220903753192E-6] |
|1 |[102717, 23965, 255554, 7556, 23664] |[9.001034925466093E-5, 1.9876147058802968E-5, 1.1786977949286144E-5, 1.1313696761999151E-5, 1.1304164296383944E-5] |
|2 |[234466, 54510, 181539, 30581, 213293] |[3.10524731991856E-5, 2.356092531954886E-5, 2.2933054962176167E-5, 1.3420025444661274E-5, 1.049801737647782E-5] |
|3 |[165938, 224807, 5933, 31199, 174556] |[1.0155052337645439E-4, 3.559040863845741E-5, 3.507056394523488E-5, 2.719191965233122E-5, 2.354121700136622E-5] |
|4 |[169504, 185668, 248898, 8565, 31663] |[2.003378478812585E-5, 5.963652032859863E-6, 5.6864350289728215E-6, 5.679161443023843E-6, 5.6234406389789605E-6] |
|5 |[139054, 217543, 229065, 102717, 240731]|[3.55705961592684E-5, 2.3346658064306084E-5, 1.545320772578138E-5, 8.768586171940213E-6, 7.379269682998704E-6] |
|6 |[74000, 23209, 19450, 237183, 234779] |[1.766758955055521E-5, 6.121632935923829E-6, 5.842312712644585E-6, 5.669702607484368E-6, 5.649907225123164E-6] |
|7 |[224807, 24057, 24681, 48138, 55002] |[6.1308156815782E-6, 5.961048383476059E-6, 5.898977077763004E-6, 5.740689669532659E-6, 5.674162072643834E-6] |
|8 |[30480, 227120, 239674, 142328, 11167] |[3.1365225093386817E-5, 1.501725913114493E-5, 1.4586088815458537E-5, 1.3917934246595098E-5, 5.784379006859488E-6] |
|9 |[111235, 86172, 114867, 258487, 158419] |[7.808710526699033E-5, 3.2286483833464194E-5, 3.007787216266295E-5, 2.0288812219449805E-5, 1.9770437993613155E-5] |
|10 |[72206, 139778, 216994, 219001, 77152] |[3.496790865835962E-5, 2.1535671214469296E-5, 6.737773298575997E-6, 5.770053792822944E-6, 5.702971112878766E-6] |
|11 |[23386, 118758, 213293, 176813, 4908] |[3.2404783874595655E-5, 2.6734667954533205E-5, 2.2111690878946983E-5, 2.0144737728055276E-5, 1.9984549718752615E-5]|
|12 |[257973, 216994, 219055, 61560, 171193] |[3.191586432813444E-5, 1.872611875694849E-5, 1.4687895170856974E-5, 6.500837915367219E-6, 6.233711025637751E-6] |
|13 |[222675, 253543, 68078, 167750, 23954] |[2.762204582723966E-5, 2.4175083478124683E-5, 1.746819922099377E-5, 1.7414740460600895E-5, 1.708277661453924E-5] |
|14 |[257713, 23386, 240731, 244639, 116777] |[3.2898006394188885E-5, 6.688404825745594E-6, 6.567479478521915E-6, 5.840886712042022E-6, 5.77856394083877E-6] |
