|0    |[150644, 151062, 59766, 111002, 79084]  |[6.112723989608271E-5, 4.0176089299982776E-5, 3.450903241683829E-5, 2.1903305653117966E-5, 2.0002253968292806E-5]|
|1    |[227313, 238265, 195836, 149048, 73488] |[2.6521918032884655E-5, 2.097037284846754E-5, 1.938752855409669E-5, 1.6319066856001415E-5, 1.4331973911731864E-5]|
|2    |[31105, 132703, 29300, 31199, 37963]    |[6.867482063635885E-5, 4.763478463756194E-5, 3.142416387227443E-5, 2.476755199961182E-5, 2.079341349648185E-5]   |
|3    |[38236, 102717, 78689, 166740, 79554]   |[2.137614514078099E-4, 4.3238598720683974E-5, 3.237197359111999E-5, 2.5237170751420628E-5, 2.192066099390437E-5] |
|4    |[60908, 255554, 180080, 232573, 38894]  |[7.369771445003484E-4, 4.976605102954406E-5, 4.610603545764694E-5, 4.17999911664356E-5, 3.795240974456152E-5]    |
|5    |[57883, 229261, 29018, 50771, 160341]   |[4.971161260715009E-5, 4.327318212805869E-5, 2.7173849932247062E-5, 2.4779322060987733E-5, 1.5101905679517395E-5]|
|6    |[221413, 180080, 102734, 215562, 157788]|[1.0523155758842973E-4, 8.687664319357316E-5, 2.70053891197424E-5, 2.4341339231566316E-5, 2.2885900094517476E-5] |
|7    |[150246, 180523, 15653, 55102, 140250]  |[3.6201863280448084E-5, 2.67587357139637E-5, 2.531283706133227E-5, 2.1496532081190186E-5, 1.7691559054395873E-5] |
|8    |[13945, 247282, 242413, 48773, 135976]  |[2.0509955998897022E-4, 5.262218881389831E-5, 4.406200901729653E-5, 1.5561799225383874E-5, 1.4251169695714567E-5]|
|9    |[232573, 149048, 192029, 217543, 43043] |[1.381459079742392E-4, 8.849148962115067E-5, 7.551270083959066E-5, 2.828424358021827E-5, 2.2146466710585022E-5]  |
|10   |[37979, 113008, 111161, 90542, 60908]   |[4.039236666309221E-4, 3.589148477389377E-5, 3.5081442060577005E-5, 2.836562760663763E-5, 2.8004852598702666E-5] |
|11   |[249897, 248578, 209188, 4908, 232126]  |[1.1506004076579978E-4, 5.56797879500038E-5, 4.976960164501709E-5, 2.8531237361142435E-5, 2.180422059726692E-5]  |
|12   |[63420, 72206, 252163, 256763, 12927]   |[3.405038508043177E-5, 1.859909020974077E-5, 1.4956631015680528E-5, 1.3357794944650313E-5, 1.2419563191072121E-5]|
|13   |[118989, 102552, 185425, 20805, 231224] |[1.1808244667530128E-4, 5.56735515555299E-5, 4.014156410191597E-5, 3.3180771365939314E-5, 3.200426473574803E-5]  |
|14   |[234466, 165938, 207604, 68078, 154659] |[1.4648734469537285E-4, 6.58739326739416E-5, 4.158314673924382E-5, 3.755974872809082E-5, 3.424155270896283E-5]   |
