|0 |[180080, 151062, 232573, 95466, 135976] |[1.3422832121690143E-4, 4.0045097443838216E-5, 1.78577732611082E-5, 1.6706843807897174E-5, 1.4137585728055583E-5] |
|1 |[247282, 242413, 80246, 227313, 250037] |[4.815314198067081E-5, 4.238480752586417E-5, 3.212202570588661E-5, 3.05656544395728E-5, 2.2897898254456986E-5] |
|2 |[231224, 4908, 30928, 149561, 135279] |[3.3153742029843155E-5, 2.8139777548799485E-5, 1.8120507493196568E-5, 1.6062677305850795E-5, 1.517984467985774E-5] |
|3 |[234466, 207604, 90542, 102717, 157788] |[1.2122877665086505E-4, 4.21620225395808E-5, 3.0993013707384904E-5, 2.9838245668597286E-5, 2.257693365546137E-5] |
|4 |[60908, 37979, 255554, 59766, 2924] |[7.057298671022434E-4, 9.56575975528906E-5, 5.046809192189037E-5, 4.464576174639521E-5, 2.6634024857776878E-5] |
|5 |[57883, 150246, 43203, 160312, 31199] |[5.238559289628347E-5, 3.6345202676752156E-5, 3.0033762679941864E-5, 2.96982276878579E-5, 2.258621134845863E-5] |
|6 |[249897, 209188, 248578, 230080, 232126]|[1.125031186357519E-4, 4.975363491775892E-5, 4.0668126355948475E-5, 2.1767776872607772E-5, 2.1297145137757345E-5] |
|7 |[13945, 150644, 180523, 203554, 209188] |[2.0519052510580983E-4, 5.9872954116639535E-5, 2.4728185274130132E-5, 1.9562077674564317E-5, 1.5667258457983034E-5]|
|8 |[31105, 132703, 132712, 201418, 48773] |[5.446354784331322E-5, 5.0017749487553745E-5, 2.0193917918503896E-5, 1.9653749459961146E-5, 1.556453286184509E-5] |
|9 |[192029, 38894, 68078, 113008, 217543] |[7.546554157712387E-5, 4.1448429101915716E-5, 3.927881553401537E-5, 3.509862237979976E-5, 2.8287155204260355E-5] |
|10 |[149048, 221413, 37979, 111161, 20805] |[1.224475651350835E-4, 9.120978841025075E-5, 3.827420814208512E-5, 3.4725037352424495E-5, 3.306836511820945E-5] |
|11 |[37979, 29300, 55102, 43043, 158419] |[2.723500142803132E-4, 3.368683076980018E-5, 2.5084964502423294E-5, 2.266448930081158E-5, 2.0091271623412982E-5] |
|12 |[232573, 165938, 154659, 15653, 63420] |[1.3047599183585605E-4, 6.488645040150356E-5, 4.596849297718595E-5, 3.698904673856709E-5, 3.516175620714315E-5] |
|13 |[118989, 229261, 60908, 102552, 215562] |[1.2164974016011927E-4, 4.785709416993922E-5, 4.206284831738522E-5, 3.870382836115945E-5, 3.2242752128557176E-5] |
|14 |[38236, 185425, 60908, 78689, 206026] |[2.344636974343172E-4, 3.907959064924402E-5, 3.5634699223124894E-5, 3.2594193501131554E-5, 2.790905780943356E-5] |
